donor_id,name,donor_type,phone,email,address
20,Aidana Nurpeisov,INDIVIDUAL,+7 (781) 671-78-13,aidana.nurpeisov55@mail.ru,"88 Masanchi Street, Taraz, Kazakhstan"
21,Farida Tolegenov,INDIVIDUAL,+7 (745) 354-37-44,farida.tolegenov924@outlook.com,"198 Abai Avenue, Petropavl, Kazakhstan"
22,Elmira Abdirov,INDIVIDUAL,+7 (776) 117-89-48,elmira.abdirov764@yahoo.com,"193 Rozybakiev Street, Oral, Kazakhstan"
23,Nurlan Omarov,INDIVIDUAL,+7 (757) 593-61-23,nurlan.omarov624@yahoo.com,"47 Dostyk Avenue, Aktobe, Kazakhstan"
24,Marat Dzhakishev,INDIVIDUAL,+7 (727) 102-57-10,marat.dzhakishev206@outlook.com,"102 Nazarbayev Street, Taraz, Kazakhstan"
25,Aidar Kairatov,INDIVIDUAL,+7 (714) 612-12-33,aidar.kairatov613@yahoo.com,"162 Tole Bi Street, Aktobe, Kazakhstan"
26,Kamila Tolegenov,INDIVIDUAL,+7 (791) 430-16-51,kamila.tolegenov897@yandex.kz,"182 Abai Avenue, Oral, Kazakhstan"
27,Alibek Abdirov,INDIVIDUAL,+7 (732) 354-41-80,alibek.abdirov337@yandex.kz,"42 Nazarbayev Street, Pavlodar, Kazakhstan"
28,Dias Zhumabekov,INDIVIDUAL,+7 (730) 912-61-71,dias.zhumabekov419@yandex.kz,"25 Rozybakiev Street, Karaganda, Kazakhstan"
29,Zarina Aliyev,INDIVIDUAL,+7 (780) 631-80-58,zarina.aliyev305@outlook.com,"186 Furmanov Street, Aktobe, Kazakhstan"
30,Nazira Ospanov,INDIVIDUAL,+7 (796) 844-85-88,nazira.ospanov260@yahoo.com,"112 Nazarbayev Street, Shymkent, Kazakhstan"
31,Oksana Abdirov,INDIVIDUAL,+7 (744) 859-98-37,oksana.abdirov427@mail.ru,"103 Dostyk Avenue, Karaganda, Kazakhstan"
32,Yerbol Rakhimov,INDIVIDUAL,+7 (773) 891-36-92,yerbol.rakhimov529@mail.ru,"138 Tole Bi Street, Almaty, Kazakhstan"
33,Asel Abdirov,INDIVIDUAL,+7 (731) 964-59-38,asel.abdirov974@outlook.com,"191 Masanchi Street, Oral, Kazakhstan"
34,Marat Tolegenov,INDIVIDUAL,+7 (778) 952-69-30,marat.tolegenov293@mail.ru,"60 Rozybakiev Street, Aktau, Kazakhstan"
35,Bolat Omarov,INDIVIDUAL,+7 (731) 158-82-80,bolat.omarov473@yandex.kz,"18 Nazarbayev Street, Taraz, Kazakhstan"
36,Marat Kadyrov,INDIVIDUAL,+7 (740) 760-89-27,marat.kadyrov204@yandex.kz,"47 Zhibek Zholy, Aktobe, Kazakhstan"
37,Saltanat Dauletov,INDIVIDUAL,+7 (726) 188-86-97,saltanat.dauletov907@gmail.com,"31 Zhibek Zholy, Aktau, Kazakhstan"
38,Kanat Nurpeisov,INDIVIDUAL,+7 (716) 604-17-24,kanat.nurpeisov806@gmail.com,"113 Zhibek Zholy, Almaty, Kazakhstan"
39,Madina Nurgaliyev,INDIVIDUAL,+7 (758) 495-45-12,madina.nurgaliyev94@yandex.kz,"149 Satpayev Street, Oskemen, Kazakhstan"
40,Madina Aliyev,INDIVIDUAL,+7 (736) 447-22-43,madina.aliyev321@gmail.com,"149 Furmanov Street, Semey, Kazakhstan"
41,Timur Baimukhanov,INDIVIDUAL,+7 (756) 517-89-39,timur.baimukhanov404@yandex.kz,"12 Zhibek Zholy, Kyzylorda, Kazakhstan"
42,Aigul Omarov,INDIVIDUAL,+7 (778) 844-63-83,aigul.omarov284@gmail.com,"154 Furmanov Street, Pavlodar, Kazakhstan"
43,Asel Esenov,INDIVIDUAL,+7 (762) 613-13-26,asel.esenov155@yandex.kz,"17 Dostyk Avenue, Aktau, Kazakhstan"
44,Timur Zhakenov,INDIVIDUAL,+7 (764) 887-58-41,timur.zhakenov791@yahoo.com,"157 Furmanov Street, Pavlodar, Kazakhstan"
45,Baurzhan Nurpeisov,INDIVIDUAL,+7 (711) 739-25-97,baurzhan.nurpeisov256@gmail.com,"101 Rozybakiev Street, Karaganda, Kazakhstan"
46,Tamara Kadyrov,INDIVIDUAL,+7 (787) 604-97-53,tamara.kadyrov377@outlook.com,"126 Zhibek Zholy, Astana, Kazakhstan"
47,Asel Suleimenov,INDIVIDUAL,+7 (765) 979-95-51,asel.suleimenov205@outlook.com,"157 Satpayev Street, Oskemen, Kazakhstan"
48,Nazira Magzumov,INDIVIDUAL,+7 (792) 928-90-81,nazira.magzumov792@mail.ru,"68 Nazarbayev Street, Astana, Kazakhstan"
49,Nurlan Zhakenov,INDIVIDUAL,+7 (778) 381-12-89,nurlan.zhakenov432@gmail.com,"75 Satpayev Street, Aktau, Kazakhstan"
50,Oksana Baimukhanov,INDIVIDUAL,+7 (743) 381-68-20,oksana.baimukhanov711@yahoo.com,"45 Rozybakiev Street, Oskemen, Kazakhstan"
51,Aidar Magzumov,INDIVIDUAL,+7 (747) 867-17-58,aidar.magzumov338@yandex.kz,"12 Dostyk Avenue, Taraz, Kazakhstan"
52,Yerlan Zhakenov,INDIVIDUAL,+7 (785) 438-97-21,yerlan.zhakenov123@outlook.com,"20 Kabanbai Batyr Avenue, Pavlodar, Kazakhstan"
53,Elmira Akhmetov,INDIVIDUAL,+7 (796) 744-59-85,elmira.akhmetov216@yahoo.com,"161 Nazarbayev Street, Aktau, Kazakhstan"
54,Nurlan Rakhimov,INDIVIDUAL,+7 (718) 725-29-55,nurlan.rakhimov165@yandex.kz,"139 Nazarbayev Street, Almaty, Kazakhstan"
55,Togzhan Bekbolat,INDIVIDUAL,+7 (718) 451-79-77,togzhan.bekbolat572@gmail.com,"96 Nazarbayev Street, Almaty, Kazakhstan"
56,Serik Yermekbayev,INDIVIDUAL,+7 (776) 237-67-45,serik.yermekbayev927@gmail.com,"60 Rozybakiev Street, Kyzylorda, Kazakhstan"
57,Saule Tolegenov,INDIVIDUAL,+7 (752) 848-73-33,saule.tolegenov937@mail.ru,"3 Furmanov Street, Pavlodar, Kazakhstan"
58,Bibigul Akhmetov,INDIVIDUAL,+7 (775) 270-24-62,bibigul.akhmetov720@mail.ru,"162 Satpayev Street, Aktau, Kazakhstan"
59,Aidana Tolegenov,INDIVIDUAL,+7 (713) 325-28-41,aidana.tolegenov514@yandex.kz,"83 Kabanbai Batyr Avenue, Atyrau, Kazakhstan"
60,Madina Zhakenov,INDIVIDUAL,+7 (711) 309-88-60,madina.zhakenov146@outlook.com,"152 Rozybakiev Street, Shymkent, Kazakhstan"
61,Kamila Omarov,INDIVIDUAL,+7 (746) 326-84-32,kamila.omarov714@outlook.com,"158 Kabanbai Batyr Avenue, Oral, Kazakhstan"
62,Elmira Suleimenov,INDIVIDUAL,+7 (792) 380-12-34,elmira.suleimenov600@yandex.kz,"50 Rozybakiev Street, Taraz, Kazakhstan"
63,Madina Ospanov,INDIVIDUAL,+7 (773) 907-61-13,madina.ospanov620@gmail.com,"61 Dostyk Avenue, Pavlodar, Kazakhstan"
64,Bakhyt Rakhimov,INDIVIDUAL,+7 (737) 361-81-11,bakhyt.rakhimov10@yandex.kz,"66 Nazarbayev Street, Pavlodar, Kazakhstan"
65,Gulnara Serikbayev,INDIVIDUAL,+7 (794) 148-63-37,gulnara.serikbayev79@yandex.kz,"159 Dostyk Avenue, Oral, Kazakhstan"
66,Marat Dzhakishev,INDIVIDUAL,+7 (744) 719-70-11,marat.dzhakishev16@yandex.kz,"181 Furmanov Street, Taraz, Kazakhstan"
67,Marlen Suleimenov,INDIVIDUAL,+7 (723) 275-26-32,marlen.suleimenov57@yandex.kz,"185 Rozybakiev Street, Karaganda, Kazakhstan"
68,Serik Nurgaliyev,INDIVIDUAL,+7 (798) 531-68-16,serik.nurgaliyev699@yandex.kz,"31 Satpayev Street, Aktau, Kazakhstan"
69,Elmira Ospanov,INDIVIDUAL,+7 (736) 555-26-25,elmira.ospanov752@mail.ru,"118 Zhibek Zholy, Semey, Kazakhstan"
70,Yerbol Ismailov,INDIVIDUAL,+7 (712) 560-43-45,yerbol.ismailov837@outlook.com,"54 Satpayev Street, Taraz, Kazakhstan"
71,Zhanna Tolegenov,INDIVIDUAL,+7 (737) 673-87-30,zhanna.tolegenov509@yahoo.com,"177 Tole Bi Street, Almaty, Kazakhstan"
72,Aidana Tolegenov,INDIVIDUAL,+7 (767) 435-16-46,aidana.tolegenov923@gmail.com,"145 Satpayev Street, Kostanay, Kazakhstan"
73,Erlan Ismailov,INDIVIDUAL,+7 (777) 728-19-34,erlan.ismailov372@gmail.com,"149 Rozybakiev Street, Taraz, Kazakhstan"
74,Oksana Tolegenov,INDIVIDUAL,+7 (726) 194-40-97,oksana.tolegenov488@yahoo.com,"185 Abai Avenue, Aktau, Kazakhstan"
75,Zhanna Dauletov,INDIVIDUAL,+7 (725) 964-63-52,zhanna.dauletov339@yahoo.com,"24 Tole Bi Street, Karaganda, Kazakhstan"
76,Yerlan Kairatov,INDIVIDUAL,+7 (730) 642-62-30,yerlan.kairatov615@yandex.kz,"190 Nazarbayev Street, Semey, Kazakhstan"
77,Nurlan Dzhakishev,INDIVIDUAL,+7 (764) 736-58-18,nurlan.dzhakishev571@mail.ru,"176 Satpayev Street, Kyzylorda, Kazakhstan"
78,Baurzhan Nurpeisov,INDIVIDUAL,+7 (712) 536-99-41,baurzhan.nurpeisov624@yahoo.com,"138 Satpayev Street, Taraz, Kazakhstan"
79,Elmira Kairatov,INDIVIDUAL,+7 (733) 670-80-48,elmira.kairatov499@gmail.com,"188 Kabanbai Batyr Avenue, Taraz, Kazakhstan"
80,Aidana Serikbayev,INDIVIDUAL,+7 (787) 756-68-53,aidana.serikbayev859@gmail.com,"56 Kabanbai Batyr Avenue, Kyzylorda, Kazakhstan"
81,Elmira Nurpeisov,INDIVIDUAL,+7 (798) 175-62-46,elmira.nurpeisov316@mail.ru,"86 Tole Bi Street, Oral, Kazakhstan"
82,Ruslan Akhmetov,INDIVIDUAL,+7 (782) 227-16-59,ruslan.akhmetov253@gmail.com,"127 Abai Avenue, Pavlodar, Kazakhstan"
83,Yerbol Esenov,INDIVIDUAL,+7 (713) 677-85-58,yerbol.esenov982@yahoo.com,"57 Kabanbai Batyr Avenue, Oskemen, Kazakhstan"
84,Kairat Suleimenov,INDIVIDUAL,+7 (774) 238-38-52,kairat.suleimenov0@yandex.kz,"177 Masanchi Street, Taraz, Kazakhstan"
85,Dana Serikbayev,INDIVIDUAL,+7 (788) 207-12-53,dana.serikbayev794@outlook.com,"51 Dostyk Avenue, Aktobe, Kazakhstan"
86,Alibek Aliyev,INDIVIDUAL,+7 (715) 401-39-73,alibek.aliyev57@gmail.com,"120 Zhibek Zholy, Almaty, Kazakhstan"
87,Aslan Rakhimov,INDIVIDUAL,+7 (766) 781-55-34,aslan.rakhimov85@yandex.kz,"136 Rozybakiev Street, Pavlodar, Kazakhstan"
88,Erlan Rakhimov,INDIVIDUAL,+7 (765) 881-12-15,erlan.rakhimov260@yandex.kz,"145 Masanchi Street, Semey, Kazakhstan"
89,Baurzhan Zhakenov,INDIVIDUAL,+7 (733) 695-50-57,baurzhan.zhakenov501@gmail.com,"94 Furmanov Street, Taraz, Kazakhstan"
90,Baurzhan Nurgaliyev,INDIVIDUAL,+7 (730) 146-50-71,baurzhan.nurgaliyev245@yahoo.com,"32 Tole Bi Street, Taraz, Kazakhstan"
91,Gaukhar Kairatov,INDIVIDUAL,+7 (724) 208-70-31,gaukhar.kairatov681@gmail.com,"73 Furmanov Street, Almaty, Kazakhstan"
92,Rauan Yermekbayev,INDIVIDUAL,+7 (770) 441-48-65,rauan.yermekbayev402@outlook.com,"69 Masanchi Street, Aktobe, Kazakhstan"
93,Gulnara Mambetalin,INDIVIDUAL,+7 (770) 355-21-65,gulnara.mambetalin948@yahoo.com,"198 Tole Bi Street, Atyrau, Kazakhstan"
94,Dana Tolegenov,INDIVIDUAL,+7 (762) 226-59-23,dana.tolegenov501@yandex.kz,"2 Dostyk Avenue, Kyzylorda, Kazakhstan"
95,Erlan Esenov,INDIVIDUAL,+7 (768) 857-40-98,erlan.esenov667@yandex.kz,"33 Furmanov Street, Aktobe, Kazakhstan"
96,Tamara Bekbolat,INDIVIDUAL,+7 (786) 684-26-88,tamara.bekbolat845@yandex.kz,"31 Dostyk Avenue, Atyrau, Kazakhstan"
97,Togzhan Akhmetov,INDIVIDUAL,+7 (737) 806-58-41,togzhan.akhmetov126@outlook.com,"87 Nazarbayev Street, Aktobe, Kazakhstan"
98,Sultan Dzhakishev,INDIVIDUAL,+7 (724) 661-45-93,sultan.dzhakishev695@yahoo.com,"10 Dostyk Avenue, Oskemen, Kazakhstan"
99,Bolat Zhakenov,INDIVIDUAL,+7 (767) 810-60-11,bolat.zhakenov515@yandex.kz,"52 Tole Bi Street, Aktobe, Kazakhstan"
100,Oksana Esenov,INDIVIDUAL,+7 (740) 949-95-26,oksana.esenov922@mail.ru,"158 Rozybakiev Street, Semey, Kazakhstan"
101,Saule Akhmetov,INDIVIDUAL,+7 (730) 348-86-77,saule.akhmetov40@mail.ru,"149 Rozybakiev Street, Aktau, Kazakhstan"
102,Askar Bekbolat,INDIVIDUAL,+7 (712) 630-47-20,askar.bekbolat7@yandex.kz,"157 Furmanov Street, Kyzylorda, Kazakhstan"
103,Kanat Akhmetov,INDIVIDUAL,+7 (713) 482-60-91,kanat.akhmetov23@gmail.com,"2 Rozybakiev Street, Oskemen, Kazakhstan"
104,Zhanna Zhumabekov,INDIVIDUAL,+7 (767) 781-29-85,zhanna.zhumabekov338@yandex.kz,"150 Satpayev Street, Petropavl, Kazakhstan"
105,Yerbol Nurpeisov,INDIVIDUAL,+7 (750) 439-97-46,yerbol.nurpeisov391@yahoo.com,"175 Masanchi Street, Shymkent, Kazakhstan"
106,Togzhan Nurpeisov,INDIVIDUAL,+7 (757) 667-64-75,togzhan.nurpeisov181@outlook.com,"83 Kabanbai Batyr Avenue, Taraz, Kazakhstan"
107,Aliya Rakhimov,INDIVIDUAL,+7 (758) 271-86-23,aliya.rakhimov528@outlook.com,"127 Rozybakiev Street, Aktobe, Kazakhstan"
108,Zhanar Dzhakishev,INDIVIDUAL,+7 (715) 499-38-78,zhanar.dzhakishev674@yahoo.com,"197 Dostyk Avenue, Oral, Kazakhstan"
109,Aigul Nurgaliyev,INDIVIDUAL,+7 (765) 262-80-55,aigul.nurgaliyev335@yahoo.com,"66 Abai Avenue, Pavlodar, Kazakhstan"
110,Medet Zhakenov,INDIVIDUAL,+7 (767) 172-49-61,medet.zhakenov671@yandex.kz,"163 Dostyk Avenue, Oral, Kazakhstan"
111,Oksana Bekbolat,INDIVIDUAL,+7 (742) 430-29-33,oksana.bekbolat325@yahoo.com,"129 Abai Avenue, Shymkent, Kazakhstan"
112,Oksana Zhakenov,INDIVIDUAL,+7 (763) 896-50-13,oksana.zhakenov240@mail.ru,"153 Dostyk Avenue, Semey, Kazakhstan"
113,Kamila Nurgaliyev,INDIVIDUAL,+7 (746) 666-60-28,kamila.nurgaliyev368@yandex.kz,"42 Satpayev Street, Oskemen, Kazakhstan"
114,Kamila Dzhakishev,INDIVIDUAL,+7 (788) 266-40-10,kamila.dzhakishev264@mail.ru,"170 Satpayev Street, Kostanay, Kazakhstan"
115,Togzhan Ismailov,INDIVIDUAL,+7 (733) 136-36-68,togzhan.ismailov147@gmail.com,"171 Tole Bi Street, Atyrau, Kazakhstan"
116,Rauan Kadyrov,INDIVIDUAL,+7 (740) 454-92-77,rauan.kadyrov452@yahoo.com,"172 Masanchi Street, Pavlodar, Kazakhstan"
117,Kairat Baimukhanov,INDIVIDUAL,+7 (718) 338-87-21,kairat.baimukhanov690@outlook.com,"92 Kabanbai Batyr Avenue, Astana, Kazakhstan"
118,Zhanar Aliyev,INDIVIDUAL,+7 (774) 217-49-60,zhanar.aliyev730@outlook.com,"143 Rozybakiev Street, Atyrau, Kazakhstan"
119,Marat Kadyrov,INDIVIDUAL,+7 (728) 544-38-58,marat.kadyrov255@mail.ru,"87 Furmanov Street, Kostanay, Kazakhstan"
120,Zhanar Rakhimov,INDIVIDUAL,+7 (795) 285-11-13,zhanar.rakhimov940@mail.ru,"58 Zhibek Zholy, Oral, Kazakhstan"
121,Dinara Yermekbayev,INDIVIDUAL,+7 (771) 645-16-90,dinara.yermekbayev302@yandex.kz,"4 Dostyk Avenue, Oskemen, Kazakhstan"
122,Rauan Nurpeisov,INDIVIDUAL,+7 (761) 224-10-40,rauan.nurpeisov861@outlook.com,"51 Tole Bi Street, Taraz, Kazakhstan"
123,Baurzhan Magzumov,INDIVIDUAL,+7 (727) 979-84-37,baurzhan.magzumov330@outlook.com,"187 Satpayev Street, Semey, Kazakhstan"
124,Bolat Tuleshov,INDIVIDUAL,+7 (771) 279-69-93,bolat.tuleshov648@outlook.com,"152 Nazarbayev Street, Kostanay, Kazakhstan"
125,Tamara Ismailov,INDIVIDUAL,+7 (783) 534-88-77,tamara.ismailov802@yandex.kz,"77 Satpayev Street, Pavlodar, Kazakhstan"
126,Baurzhan Suleimenov,INDIVIDUAL,+7 (797) 398-92-13,baurzhan.suleimenov349@yandex.kz,"132 Masanchi Street, Atyrau, Kazakhstan"
127,Yerlan Kairatov,INDIVIDUAL,+7 (713) 156-55-43,yerlan.kairatov614@yahoo.com,"48 Nazarbayev Street, Oskemen, Kazakhstan"
128,Yerlan Tuleshov,INDIVIDUAL,+7 (795) 355-84-11,yerlan.tuleshov134@gmail.com,"83 Tole Bi Street, Oskemen, Kazakhstan"
129,Medet Zhakenov,INDIVIDUAL,+7 (742) 773-30-99,medet.zhakenov404@yahoo.com,"115 Tole Bi Street, Kyzylorda, Kazakhstan"
130,Erlan Nurgaliyev,INDIVIDUAL,+7 (730) 102-55-69,erlan.nurgaliyev795@gmail.com,"149 Rozybakiev Street, Oral, Kazakhstan"
131,Sultan Omarov,INDIVIDUAL,+7 (785) 803-65-48,sultan.omarov587@gmail.com,"108 Satpayev Street, Atyrau, Kazakhstan"
132,Marlen Rakhimov,INDIVIDUAL,+7 (767) 696-86-33,marlen.rakhimov258@yahoo.com,"79 Satpayev Street, Aktau, Kazakhstan"
133,Baurzhan Ismailov,INDIVIDUAL,+7 (722) 557-41-11,baurzhan.ismailov850@outlook.com,"195 Furmanov Street, Kyzylorda, Kazakhstan"
134,Alibek Dauletov,INDIVIDUAL,+7 (782) 806-76-30,alibek.dauletov215@gmail.com,"11 Furmanov Street, Taraz, Kazakhstan"
135,Bolat Magzumov,INDIVIDUAL,+7 (734) 165-86-69,bolat.magzumov209@yahoo.com,"42 Furmanov Street, Atyrau, Kazakhstan"
136,Aliya Kairatov,INDIVIDUAL,+7 (774) 250-78-61,aliya.kairatov222@outlook.com,"116 Satpayev Street, Astana, Kazakhstan"
137,Bolat Baimukhanov,INDIVIDUAL,+7 (793) 750-15-67,bolat.baimukhanov245@yahoo.com,"120 Dostyk Avenue, Kostanay, Kazakhstan"
138,Serik Tolegenov,INDIVIDUAL,+7 (733) 291-87-96,serik.tolegenov61@gmail.com,"197 Nazarbayev Street, Aktau, Kazakhstan"
139,Farida Zhumabekov,INDIVIDUAL,+7 (773) 994-81-99,farida.zhumabekov76@yandex.kz,"6 Satpayev Street, Oral, Kazakhstan"
140,Daniyar Dzhakishev,INDIVIDUAL,+7 (763) 486-68-92,daniyar.dzhakishev663@yandex.kz,"101 Masanchi Street, Shymkent, Kazakhstan"
141,Kamila Kadyrov,INDIVIDUAL,+7 (734) 733-20-33,kamila.kadyrov754@outlook.com,"104 Rozybakiev Street, Karaganda, Kazakhstan"
142,Venera Kadyrov,INDIVIDUAL,+7 (745) 150-48-39,venera.kadyrov220@mail.ru,"167 Zhibek Zholy, Semey, Kazakhstan"
143,Dias Tuleshov,INDIVIDUAL,+7 (797) 663-45-17,dias.tuleshov137@gmail.com,"128 Zhibek Zholy, Karaganda, Kazakhstan"
144,Arman Baimukhanov,INDIVIDUAL,+7 (767) 135-14-10,arman.baimukhanov312@yandex.kz,"162 Kabanbai Batyr Avenue, Shymkent, Kazakhstan"
145,Yerlan Aliyev,INDIVIDUAL,+7 (767) 863-21-70,yerlan.aliyev175@mail.ru,"106 Satpayev Street, Kostanay, Kazakhstan"
146,Yerlan Abdirov,INDIVIDUAL,+7 (773) 414-12-24,yerlan.abdirov96@gmail.com,"76 Abai Avenue, Karaganda, Kazakhstan"
147,Baurzhan Aliyev,INDIVIDUAL,+7 (795) 182-22-88,baurzhan.aliyev604@outlook.com,"70 Rozybakiev Street, Petropavl, Kazakhstan"
148,Kanat Abdirov,INDIVIDUAL,+7 (745) 149-31-25,kanat.abdirov174@yahoo.com,"93 Dostyk Avenue, Oral, Kazakhstan"
149,Yerbol Ismailov,INDIVIDUAL,+7 (751) 562-66-69,yerbol.ismailov687@outlook.com,"140 Rozybakiev Street, Pavlodar, Kazakhstan"
150,Dinara Aliyev,INDIVIDUAL,+7 (783) 406-39-15,dinara.aliyev5@outlook.com,"97 Furmanov Street, Petropavl, Kazakhstan"
151,Medet Mambetalin,INDIVIDUAL,+7 (747) 875-82-90,medet.mambetalin459@gmail.com,"136 Nazarbayev Street, Petropavl, Kazakhstan"
152,Elmira Baimukhanov,INDIVIDUAL,+7 (763) 340-59-57,elmira.baimukhanov457@yahoo.com,"178 Satpayev Street, Oral, Kazakhstan"
153,Kairat Dzhakishev,INDIVIDUAL,+7 (735) 646-84-17,kairat.dzhakishev320@outlook.com,"79 Rozybakiev Street, Karaganda, Kazakhstan"
154,Bakhyt Bekbolat,INDIVIDUAL,+7 (756) 629-48-23,bakhyt.bekbolat460@mail.ru,"138 Tole Bi Street, Oskemen, Kazakhstan"
155,Dana Dauletov,INDIVIDUAL,+7 (766) 349-71-89,dana.dauletov201@yandex.kz,"115 Kabanbai Batyr Avenue, Atyrau, Kazakhstan"
156,Aidana Nurgaliyev,INDIVIDUAL,+7 (714) 686-20-97,aidana.nurgaliyev716@yandex.kz,"109 Dostyk Avenue, Almaty, Kazakhstan"
157,Bakhyt Mambetalin,INDIVIDUAL,+7 (756) 127-92-73,bakhyt.mambetalin756@mail.ru,"5 Furmanov Street, Astana, Kazakhstan"
158,Kuanysh Tuleshov,INDIVIDUAL,+7 (775) 523-46-41,kuanysh.tuleshov954@yandex.kz,"137 Nazarbayev Street, Karaganda, Kazakhstan"
159,Kairat Esenov,INDIVIDUAL,+7 (755) 929-18-41,kairat.esenov966@mail.ru,"76 Tole Bi Street, Pavlodar, Kazakhstan"
160,Kairat Zhumabekov,INDIVIDUAL,+7 (723) 976-44-29,kairat.zhumabekov89@mail.ru,"121 Abai Avenue, Oskemen, Kazakhstan"
161,Timur Magzumov,INDIVIDUAL,+7 (743) 311-22-32,timur.magzumov656@outlook.com,"96 Satpayev Street, Astana, Kazakhstan"
162,Medet Zhakenov,INDIVIDUAL,+7 (750) 137-22-78,medet.zhakenov746@outlook.com,"91 Masanchi Street, Atyrau, Kazakhstan"
163,Erlan Dauletov,INDIVIDUAL,+7 (747) 341-30-74,erlan.dauletov369@gmail.com,"94 Abai Avenue, Taraz, Kazakhstan"
164,Daniyar Baimukhanov,INDIVIDUAL,+7 (724) 458-29-70,daniyar.baimukhanov605@gmail.com,"177 Zhibek Zholy, Pavlodar, Kazakhstan"
165,Timur Suleimenov,INDIVIDUAL,+7 (741) 107-85-47,timur.suleimenov307@yandex.kz,"64 Nazarbayev Street, Almaty, Kazakhstan"
166,Nurlan Tolegenov,INDIVIDUAL,+7 (780) 906-41-25,nurlan.tolegenov410@yandex.kz,"10 Kabanbai Batyr Avenue, Taraz, Kazakhstan"
167,Kairat Kairatov,INDIVIDUAL,+7 (757) 643-29-56,kairat.kairatov841@yahoo.com,"68 Nazarbayev Street, Almaty, Kazakhstan"
168,Aslan Tuleshov,INDIVIDUAL,+7 (717) 642-41-78,aslan.tuleshov1@yahoo.com,"79 Rozybakiev Street, Shymkent, Kazakhstan"
169,Zarina Dauletov,INDIVIDUAL,+7 (797) 809-50-73,zarina.dauletov963@outlook.com,"36 Rozybakiev Street, Taraz, Kazakhstan"
170,Serik Akhmetov,INDIVIDUAL,+7 (746) 207-85-42,serik.akhmetov966@yandex.kz,"5 Masanchi Street, Kyzylorda, Kazakhstan"
171,Yerbol Suleimenov,INDIVIDUAL,+7 (770) 916-79-91,yerbol.suleimenov718@gmail.com,"31 Nazarbayev Street, Aktobe, Kazakhstan"
172,Gaukhar Serikbayev,INDIVIDUAL,+7 (758) 601-19-23,gaukhar.serikbayev780@outlook.com,"31 Abai Avenue, Semey, Kazakhstan"
173,Zarina Tolegenov,INDIVIDUAL,+7 (724) 802-97-58,zarina.tolegenov278@yahoo.com,"39 Abai Avenue, Aktau, Kazakhstan"
