expense_id,project_id,staff_id,amount,expense_date,category,description
198,239,249,456573,2022-10-14,Supplies,Event supplies
199,115,128,459061,2022-10-21,Food,Meeting refreshments
200,84,137,27148,2021-05-10,Equipment,Medical equipment
201,21,356,1513532,2024-08-19,Printing,Forms and documentation
202,208,153,1132150,2021-10-26,Supplies,Office supplies
203,261,318,447820,2023-07-16,Equipment,AV equipment rental
204,132,266,1023120,2023-02-07,Printing,Report printing
205,119,363,483809,2024-12-09,Supplies,Office supplies
206,194,301,1019621,2020-07-13,Printing,Training material duplication
207,87,357,97310,2021-02-01,Equipment,Tools and machinery
208,249,257,271005,2021-09-25,Equipment,Photography equipment
209,188,223,381773,2021-07-28,Transport,Staff per diem
210,90,363,801745,2021-05-16,Transport,Vehicle fuel costs
211,175,88,975950,2023-04-16,Food,Nutrition program purchases
212,209,192,1612326,2021-06-02,Printing,Newsletter printing
213,122,245,1568238,2020-09-23,Supplies,Registration materials
214,47,317,309406,2023-04-07,Transport,Staff travel expenses
215,95,309,1134367,2024-03-11,Transport,Staff travel expenses
216,290,93,1631025,2020-11-18,Transport,Field visit transportation
217,251,98,1713057,2023-02-11,Printing,Educational materials
218,9,388,1794101,2020-05-15,Equipment,Computer equipment
219,194,235,1765458,2021-10-22,Supplies,Packaging materials
220,124,359,1710370,2024-06-22,Food,Meal provisions for volunteers
221,29,129,137033,2022-07-09,Equipment,Sports equipment
222,12,217,1738705,2020-08-25,Printing,Awareness campaign materials
223,162,186,580387,2020-08-09,Food,Refreshments for workshop
224,105,245,1617705,2020-01-06,Supplies,Educational supplies
225,36,279,1757658,2021-07-25,Food,Event dinner costs
226,263,258,1605655,2023-12-18,Transport,Volunteer transportation
227,223,305,1041408,2021-01-17,Supplies,Workshop materials
228,48,264,502066,2020-05-05,Supplies,Cleaning supplies
229,284,194,74783,2020-12-20,Supplies,Packaging materials
230,247,322,535950,2022-02-28,Transport,Vehicle fuel costs
231,261,232,1464483,2024-12-07,Food,Meal provisions for volunteers
232,95,33,1688271,2023-08-05,Supplies,Program supplies
233,290,172,1551126,2020-02-23,Supplies,Event supplies
234,296,134,1369099,2021-06-15,Food,Refreshments for workshop
235,241,197,454276,2023-11-24,Food,Food distribution supplies
236,266,169,463073,2021-02-20,Food,Catering for event
237,154,199,1528422,2024-03-17,Supplies,Packaging materials
238,157,346,616671,2020-11-23,Printing,Information booklet
239,33,176,750688,2021-08-09,Food,Participant snacks
240,210,315,1711498,2023-01-27,Printing,Educational materials
241,197,61,670801,2023-12-05,Supplies,Packaging materials
242,132,210,42662,2022-01-15,Supplies,First aid kit
243,37,283,871981,2024-03-17,Printing,Report printing
244,138,337,783144,2020-10-03,Printing,Forms and documentation
245,204,115,1934991,2022-05-19,Transport,Equipment delivery
246,159,110,1614552,2021-01-16,Supplies,Event supplies
247,18,394,1385098,2021-05-22,Supplies,Cleaning supplies
248,215,256,1969501,2024-03-14,Equipment,Computer equipment
249,194,398,662357,2021-02-19,Printing,Information booklet
250,170,338,909305,2024-01-18,Food,Nutrition program purchases
251,204,80,1859745,2023-09-17,Supplies,Registration materials
252,245,60,1182365,2024-01-18,Food,Training session catering
253,89,118,1089970,2022-08-09,Food,Participant snacks
254,257,29,1494647,2023-09-15,Equipment,AV equipment rental
255,111,161,1956954,2024-08-12,Transport,Vehicle maintenance
256,85,92,1108086,2024-05-27,Supplies,Medical supplies
257,152,262,1096932,2020-06-02,Transport,Transportation for outreach
258,49,183,1993659,2021-11-11,Transport,Vehicle fuel costs
259,237,188,789705,2022-10-05,Printing,Banner production
260,50,398,1084357,2023-10-08,Printing,Certificate printing
261,136,321,1062769,2023-06-18,Supplies,Program supplies
262,275,380,1903198,2024-10-23,Food,Food distribution supplies
263,18,117,1325516,2021-01-03,Printing,Awareness campaign materials
264,70,260,1349391,2024-08-01,Equipment,Photography equipment
265,31,209,1677724,2024-02-19,Printing,Newsletter printing
266,31,16,1905920,2022-03-02,Printing,Information booklet
267,123,46,447766,2021-11-01,Printing,Brochure printing
268,116,112,1352203,2020-04-18,Transport,Field visit transportation
269,78,255,939283,2022-09-16,Supplies,First aid kit
270,15,237,620358,2023-11-13,Equipment,Office furniture
271,154,308,869134,2022-12-01,Printing,Certificate printing
272,108,21,543094,2022-10-02,Transport,Equipment delivery
273,107,23,274380,2022-04-08,Supplies,First aid kit
274,178,192,1231841,2020-02-21,Equipment,Laboratory equipment
275,221,398,1080823,2020-11-20,Transport,Field visit transportation
276,66,92,588031,2021-01-24,Equipment,Tools and machinery
277,237,55,1426510,2021-09-17,Supplies,Medical supplies
278,210,78,50524,2020-01-10,Printing,Report printing
279,91,263,299155,2020-10-26,Transport,Transportation for outreach
280,190,290,1939199,2024-06-25,Equipment,Photography equipment
281,30,290,806760,2024-10-14,Printing,Information booklet
282,59,79,201196,2022-09-11,Printing,Awareness campaign materials
283,253,373,1765332,2021-06-20,Transport,Staff per diem
284,60,387,1528719,2024-07-02,Equipment,AV equipment rental
285,16,244,706159,2021-05-03,Printing,Banner production
286,175,254,315357,2023-10-06,Food,Event dinner costs
287,174,167,453477,2021-01-24,Supplies,Packaging materials
288,274,196,1819069,2020-07-21,Printing,Newsletter printing
289,298,297,476724,2020-12-23,Printing,Report printing
290,160,147,911458,2022-03-08,Transport,Logistics and shipping
291,283,154,1358154,2022-11-03,Food,Event dinner costs
292,226,42,1141355,2020-11-18,Food,Participant snacks
293,263,156,770072,2022-10-10,Equipment,Office furniture
294,208,307,1415109,2021-10-27,Supplies,First aid kit
295,258,189,1904447,2020-03-09,Printing,Banner production
296,58,159,392116,2024-01-13,Printing,Information booklet
297,280,86,1526670,2024-12-26,Food,Meal provisions for volunteers
298,77,140,866397,2020-12-07,Equipment,Tools and machinery
299,55,383,377720,2023-02-25,Transport,Transportation for outreach
300,51,288,1801975,2020-11-15,Supplies,Cleaning supplies
301,101,66,23356,2023-04-01,Printing,Training material duplication
302,99,78,528990,2020-01-08,Food,Nutrition program purchases
303,293,230,266093,2021-08-23,Transport,Public transport for beneficiaries
304,142,79,820839,2022-02-04,Transport,Transportation for outreach
305,92,370,631939,2021-08-27,Supplies,Medical supplies
306,125,136,606964,2021-04-15,Equipment,Safety equipment
307,163,397,1086234,2024-12-24,Equipment,AV equipment rental
308,245,252,1315816,2020-03-27,Printing,Banner production
309,112,164,78301,2024-05-14,Supplies,Office supplies
310,127,50,1954921,2023-01-18,Food,Refreshments for workshop
311,214,369,396757,2023-05-12,Transport,Volunteer transportation
312,67,94,216691,2022-11-01,Food,Refreshments for workshop
313,93,297,1113873,2021-04-27,Transport,Transportation for outreach
314,150,1,114401,2023-12-17,Food,Meeting refreshments
315,186,234,1972342,2020-09-21,Transport,Vehicle maintenance
316,223,157,568424,2021-04-27,Equipment,Computer equipment
317,265,81,316596,2022-12-10,Equipment,Computer equipment
318,250,336,843342,2022-02-16,Supplies,Workshop materials
319,144,390,610030,2024-12-08,Printing,Forms and documentation
320,109,191,122180,2023-03-13,Supplies,Registration materials
321,225,158,1429243,2024-11-07,Supplies,Event supplies
322,50,162,788652,2024-01-13,Food,Refreshments for workshop
323,274,55,1127399,2022-01-25,Food,Event dinner costs
324,198,394,32493,2024-08-13,Food,Food distribution supplies
325,259,10,1652357,2021-08-23,Equipment,AV equipment rental
326,181,348,476083,2024-02-21,Food,Training session catering
327,288,223,391853,2024-09-06,Supplies,Workshop materials
328,249,25,778084,2021-09-12,Transport,Public transport for beneficiaries
329,48,251,361705,2021-12-02,Printing,Banner production
330,122,52,1792072,2022-02-04,Supplies,Educational supplies
331,258,240,1548811,2023-10-12,Food,Participant snacks
332,144,108,1127498,2022-12-25,Transport,Logistics and shipping
333,271,100,1092304,2021-12-06,Transport,Field visit transportation
334,266,216,1888318,2023-02-12,Supplies,Registration materials
335,104,373,1426893,2022-04-09,Food,Meeting refreshments
336,235,297,649948,2020-10-14,Supplies,Packaging materials
337,215,79,1911873,2022-08-14,Equipment,Safety equipment
338,155,377,1777493,2023-05-02,Food,Emergency food relief
339,275,300,1022750,2024-01-25,Equipment,Tools and machinery
340,83,378,1726584,2022-10-03,Food,Food distribution supplies
341,166,324,339377,2020-06-09,Supplies,Event supplies
342,76,110,1479509,2020-04-28,Printing,Forms and documentation
343,199,382,1133695,2022-07-04,Equipment,Tools and machinery
344,295,354,1910180,2024-05-09,Food,Catering for event
345,71,86,1873785,2023-02-07,Food,Refreshments for workshop
346,121,378,814578,2023-05-18,Supplies,Office supplies
347,37,86,749224,2024-10-28,Equipment,Photography equipment
348,9,94,179448,2022-03-22,Transport,Staff per diem
349,160,104,1242046,2024-12-15,Food,Event dinner costs
350,198,214,35193,2022-07-10,Food,Emergency food relief
351,4,25,1323429,2020-07-06,Transport,Transportation for outreach
352,177,128,376173,2022-07-04,Supplies,Program supplies
353,294,154,1532205,2023-08-25,Supplies,First aid kit
354,87,13,352021,2023-01-11,Equipment,AV equipment rental
355,139,393,393508,2022-12-24,Food,Food distribution supplies
356,282,83,1294268,2022-06-27,Transport,Equipment delivery
357,283,78,120113,2022-12-27,Food,Emergency food relief
358,70,57,1519408,2024-09-07,Equipment,Tools and machinery
359,260,16,1894595,2024-06-28,Supplies,Workshop materials
360,89,38,893287,2021-10-11,Food,Emergency food relief
361,94,387,975142,2020-08-09,Equipment,Computer equipment
362,265,330,386090,2024-05-25,Transport,Transportation for outreach
363,48,368,1015863,2021-10-17,Transport,Volunteer transportation
364,61,48,712988,2023-09-22,Transport,Staff travel expenses
365,26,325,1841232,2024-09-11,Equipment,Computer equipment
366,170,388,506760,2021-09-07,Supplies,Workshop materials
367,239,194,974000,2022-02-28,Transport,Staff travel expenses
368,243,113,361332,2022-05-20,Transport,Transportation for outreach
369,209,84,986183,2020-11-04,Food,Emergency food relief
370,120,62,1099655,2022-05-20,Food,Meeting refreshments
371,218,21,225245,2020-08-09,Equipment,Tools and machinery
372,19,95,1619185,2023-07-10,Supplies,Event supplies
373,99,21,753612,2023-04-23,Printing,Awareness campaign materials
374,175,115,401817,2022-02-09,Food,Emergency food relief
375,190,190,1730813,2022-11-14,Food,Event dinner costs
376,145,315,1306831,2021-04-12,Equipment,Sports equipment
377,149,374,426744,2022-05-20,Supplies,Event supplies
378,151,348,776020,2024-03-03,Printing,Banner production
379,46,86,998168,2020-04-04,Printing,Report printing
380,288,14,1290352,2022-06-24,Equipment,Medical equipment
381,237,308,1513657,2024-03-23,Supplies,Workshop materials
382,225,221,1218380,2021-05-12,Food,Event dinner costs
383,128,367,1043745,2024-09-27,Food,Meeting refreshments
384,84,363,1721021,2022-05-01,Food,Emergency food relief
385,296,240,1370462,2024-03-10,Transport,Equipment delivery
386,298,214,129021,2021-04-13,Equipment,Office furniture
387,91,107,506400,2022-07-14,Supplies,Packaging materials
388,172,311,1807953,2023-12-01,Printing,Brochure printing
389,188,180,495248,2023-02-07,Transport,Transportation for outreach
390,45,304,1864949,2024-05-02,Supplies,Packaging materials
391,277,384,1666906,2020-08-11,Transport,Staff per diem
392,172,224,583369,2021-09-08,Supplies,Packaging materials
393,201,353,1228660,2023-05-16,Printing,Newsletter printing
394,178,55,926071,2020-08-02,Equipment,Tools and machinery
395,123,206,1384875,2023-04-20,Food,Catering for event
396,163,397,550975,2024-04-19,Food,Food distribution supplies
397,150,32,740829,2020-03-08,Equipment,Safety equipment
398,279,110,1024408,2024-07-16,Supplies,Packaging materials
399,193,17,1378346,2022-09-11,Equipment,Tools and machinery
400,246,398,1976223,2024-03-05,Equipment,Sports equipment
401,206,313,971028,2022-05-05,Food,Training session catering
402,274,397,1864950,2022-01-10,Printing,Banner production
403,138,370,1250467,2024-06-08,Transport,Equipment delivery
404,13,133,753706,2023-06-11,Supplies,Educational supplies
405,65,290,1283889,2024-03-01,Supplies,First aid kit
406,74,314,1780910,2022-10-27,Transport,Field visit transportation
407,295,195,735509,2024-07-12,Food,Emergency food relief
408,284,68,688085,2022-12-12,Food,Training session catering
409,245,93,958293,2024-04-22,Transport,Volunteer transportation
410,188,16,1125739,2020-02-15,Transport,Equipment delivery
411,157,385,871818,2022-10-11,Supplies,Office supplies
412,202,211,1086888,2024-01-01,Printing,Banner production
413,2,39,1174301,2022-09-25,Food,Training session catering
414,11,370,1838416,2023-10-15,Food,Event dinner costs
415,64,99,1957732,2020-06-26,Equipment,Communication devices
416,284,206,136392,2022-05-22,Food,Event dinner costs
417,232,307,1698663,2024-06-28,Transport,Volunteer transportation
418,268,351,470584,2021-11-01,Equipment,Sports equipment
419,74,13,231724,2023-10-20,Equipment,Photography equipment
420,207,67,447608,2022-08-18,Transport,Logistics and shipping
421,81,207,581314,2020-01-02,Equipment,Tools and machinery
422,268,25,1857204,2023-11-20,Equipment,Medical equipment
423,69,84,1932185,2024-01-05,Food,Nutrition program purchases
424,137,287,814751,2024-10-17,Printing,Awareness campaign materials
425,223,54,933455,2020-04-17,Transport,Staff travel expenses
426,57,213,1494692,2020-08-04,Printing,Information booklet
427,123,52,1052512,2023-08-23,Supplies,Event supplies
428,75,51,1145780,2020-10-26,Equipment,Laboratory equipment
429,239,25,1393790,2022-11-27,Supplies,Event supplies
430,1,382,285623,2022-01-19,Printing,Brochure printing
431,252,188,1520094,2020-02-02,Equipment,Sports equipment
432,129,41,1998943,2020-04-20,Printing,Information booklet
433,119,362,1996721,2023-01-06,Equipment,Photography equipment
434,103,47,980848,2023-04-08,Printing,Report printing
435,214,65,632145,2023-08-09,Food,Food distribution supplies
436,209,169,396022,2023-11-21,Transport,Staff travel expenses
437,187,135,1566693,2024-01-20,Equipment,Medical equipment
438,114,14,921945,2023-02-28,Food,Training session catering
439,256,204,769617,2022-08-06,Transport,Logistics and shipping
440,107,147,1920724,2022-12-05,Equipment,Computer equipment
441,7,38,816821,2024-12-21,Supplies,Packaging materials
442,189,286,243048,2024-09-17,Equipment,Photography equipment
443,160,84,1251848,2022-08-07,Supplies,Event supplies
444,101,385,625125,2024-07-04,Equipment,Communication devices
445,283,315,697661,2022-03-03,Food,Event dinner costs
446,70,160,672369,2023-11-02,Food,Catering for event
447,137,270,1396087,2023-03-14,Transport,Equipment delivery
448,261,302,840401,2024-09-02,Supplies,First aid kit
449,277,379,67359,2024-03-04,Equipment,Sports equipment
450,233,157,1599157,2023-02-11,Printing,Newsletter printing
451,6,217,1461936,2021-04-11,Food,Catering for event
452,161,30,1771178,2024-01-26,Equipment,Communication devices
453,121,186,361531,2024-03-11,Supplies,Packaging materials
454,211,398,594535,2023-11-16,Equipment,Sports equipment
455,50,208,46640,2023-10-18,Equipment,Communication devices
456,207,346,586797,2020-06-25,Printing,Certificate printing
457,296,32,427757,2024-12-13,Supplies,Program supplies
458,227,338,952078,2020-03-08,Supplies,Educational supplies
459,95,373,1247763,2022-05-20,Food,Meeting refreshments
460,102,277,184876,2020-03-03,Food,Refreshments for workshop
461,46,197,1129771,2022-04-11,Transport,Vehicle maintenance
462,278,125,509502,2022-08-26,Supplies,Educational supplies
463,250,261,211083,2021-10-20,Supplies,Cleaning supplies
464,270,282,867966,2020-12-09,Food,Training session catering
465,138,126,1376932,2020-04-05,Supplies,Workshop materials
466,69,71,507588,2022-06-20,Printing,Forms and documentation
467,268,169,634325,2024-11-08,Food,Refreshments for workshop
468,237,77,1337138,2020-02-14,Supplies,First aid kit
469,167,146,847819,2024-03-17,Supplies,First aid kit
470,214,308,1710231,2023-01-27,Printing,Banner production
471,100,265,1077572,2023-08-01,Equipment,AV equipment rental
472,85,124,833381,2021-09-06,Printing,Brochure printing
473,272,144,479241,2020-10-13,Transport,Transportation for outreach
474,153,149,1282008,2020-12-13,Supplies,Cleaning supplies
475,160,34,1191232,2023-03-24,Equipment,Laboratory equipment
476,101,43,1487636,2020-10-17,Equipment,Computer equipment
477,189,374,554530,2024-08-24,Equipment,Laboratory equipment
478,195,7,1879007,2021-03-13,Food,Training session catering
479,168,6,167303,2021-05-24,Transport,Vehicle fuel costs
480,94,287,1317437,2021-09-01,Printing,Certificate printing
481,35,245,1440701,2024-08-19,Transport,Vehicle maintenance
482,209,30,91762,2022-08-17,Transport,Staff per diem
483,64,326,470190,2021-04-18,Equipment,Sports equipment
484,244,86,255053,2022-05-20,Supplies,Educational supplies
485,54,231,827795,2023-09-06,Transport,Equipment delivery
486,272,364,288764,2021-11-05,Printing,Banner production
487,112,86,1145507,2020-03-22,Supplies,Registration materials
488,46,327,29164,2023-11-14,Equipment,Computer equipment
489,222,373,1172706,2021-09-28,Printing,Information booklet
490,109,113,1334384,2021-04-16,Transport,Volunteer transportation
491,252,400,1301038,2023-10-10,Transport,Staff travel expenses
492,82,94,626032,2020-11-12,Supplies,Event supplies
