donation_id,donor_id,project_id,donation_date,amount,payment_method,status,donation_comment
59,676,171,2024-05-28 20:37:44,2306692,CARD,REFUNDED,Happy to support
60,443,222,2020-07-13 11:51:27,458317,BANK_TRANSFER,REFUNDED,Corporate social responsibility
61,66,164,2021-04-27 08:07:59,2178342,CASH,REFUNDED,For clean water initiative
62,62,156,2022-02-16 23:59:17,1361390,BANK_TRANSFER,PENDING,Regular monthly donation
63,279,125,2024-04-10 15:23:14,2056305,BANK_TRANSFER,RECEIVED,For emergency relief
64,921,94,2021-02-16 06:13:00,220593,CASH,RECEIVED,Quarterly donation
65,1061,139,2024-09-26 14:50:12,516145,CARD,RECEIVED,Quarterly donation
66,950,144,2023-07-15 23:16:59,821946,CASH,REFUNDED,Annual contribution
67,506,278,2020-10-01 12:22:35,1344863,CASH,PENDING,Tax-deductible contribution
68,369,108,2020-08-01 21:56:53,959302,CARD,RECEIVED,Keep up the great work!
69,623,280,2022-12-18 09:15:27,780119,CASH,RECEIVED,Matching donation program
70,1025,8,2020-11-05 15:55:27,205979,CARD,PENDING,Annual contribution
71,16,35,2021-11-20 00:52:45,1316405,CARD,PENDING,Youth programs support
72,129,174,2023-12-26 06:23:52,1472627,CARD,RECEIVED,Keep up the great work!
73,713,218,2021-07-06 16:53:28,2422372,CARD,RECEIVED,For healthcare services
74,912,92,2024-02-22 19:55:52,125561,CARD,REFUNDED,For emergency relief
75,747,41,2021-09-26 23:33:31,2746536,BANK_TRANSFER,PENDING,Corporate social responsibility
76,686,104,2024-08-12 10:12:55,2680539,CARD,PENDING,Tax-deductible contribution
77,410,239,2020-03-15 23:24:38,1688592,CASH,PENDING,For the children's program
78,1040,122,2021-02-05 06:14:05,110354,CARD,PENDING,For emergency relief
79,1003,165,2021-09-18 17:36:27,138569,BANK_TRANSFER,PENDING,Supporting community development
80,37,33,2023-09-15 17:24:46,2085373,BANK_TRANSFER,REFUNDED,Matching donation program
81,1156,116,2020-08-20 03:51:43,1380212,CARD,REFUNDED,In support of your excellent work
82,463,40,2021-02-09 10:05:32,2557621,CARD,RECEIVED,For clean water initiative
83,627,16,2024-01-07 16:17:51,2750266,CARD,REFUNDED,Environmental conservation
84,1183,211,2024-09-06 11:44:16,1903013,CARD,PENDING,Youth programs support
85,946,199,2020-01-14 11:44:45,715166,BANK_TRANSFER,PENDING,For the children's program
86,982,165,2024-07-10 12:19:17,700771,BANK_TRANSFER,RECEIVED,In memory of a loved one
87,932,278,2022-10-24 05:32:39,2789431,CARD,REFUNDED,In honor of International Day
88,1200,273,2024-02-13 05:42:05,2595890,CARD,RECEIVED,Tax-deductible contribution
89,734,93,2024-08-12 01:37:50,331526,CARD,PENDING,For the children's program
90,541,87,2021-11-02 13:35:07,2840221,CASH,RECEIVED,For clean water initiative
91,636,197,2022-02-23 22:03:08,2752579,BANK_TRANSFER,PENDING,In memory of a loved one
92,5,13,2022-03-28 18:00:33,789283,BANK_TRANSFER,REFUNDED,Keep up the great work!
93,913,263,2022-03-03 10:04:29,2275544,CASH,RECEIVED,Regular monthly donation
94,715,271,2022-03-10 19:36:50,910641,BANK_TRANSFER,REFUNDED,Environmental conservation
95,631,206,2020-06-12 03:58:20,2891987,CARD,PENDING,Keep up the great work!
96,803,196,2020-11-08 23:36:52,2966549,CASH,PENDING,Quarterly donation
97,1137,114,2021-10-17 21:11:47,591997,CASH,PENDING,For clean water initiative
98,757,247,2023-03-26 00:01:57,1529081,CARD,REFUNDED,Youth programs support
99,641,155,2023-04-14 12:53:40,2507356,BANK_TRANSFER,PENDING,For the children's program
100,99,71,2021-01-13 16:22:00,2894340,BANK_TRANSFER,PENDING,Environmental conservation
101,661,227,2020-02-24 14:59:41,1909220,CASH,PENDING,Honored to contribute
102,82,106,2024-02-01 08:07:41,1578876,CASH,REFUNDED,Supporting women's empowerment
103,175,142,2023-12-05 08:21:12,686905,CARD,RECEIVED,For emergency relief
104,695,267,2022-12-27 21:38:07,2802125,BANK_TRANSFER,PENDING,Corporate social responsibility
105,416,86,2023-06-10 09:24:46,1079091,CASH,REFUNDED,Supporting community development
106,1142,35,2020-01-05 02:20:23,1528365,CASH,REFUNDED,Honored to contribute
107,1100,53,2023-09-03 07:39:22,573041,CASH,RECEIVED,For healthcare services
108,493,118,2022-09-05 08:41:14,1011797,BANK_TRANSFER,PENDING,Supporting women's empowerment
109,1046,244,2024-04-11 15:53:58,101251,BANK_TRANSFER,REFUNDED,In support of your excellent work
110,177,206,2024-05-04 16:52:12,2228272,CARD,PENDING,In support of your excellent work
111,110,161,2023-11-12 05:57:33,909740,CASH,REFUNDED,For healthcare services
112,852,95,2020-10-17 06:52:16,533566,CARD,RECEIVED,For the children's program
113,408,204,2023-12-15 03:51:43,336854,CASH,RECEIVED,Corporate social responsibility
114,425,48,2022-11-11 22:34:51,2369183,BANK_TRANSFER,REFUNDED,Corporate social responsibility
115,485,284,2023-03-18 01:01:45,743826,BANK_TRANSFER,PENDING,Environmental conservation
116,178,244,2023-06-23 22:42:10,1895031,CARD,PENDING,Honored to contribute
117,1163,57,2022-06-22 23:49:36,2821378,BANK_TRANSFER,PENDING,Happy to support
118,1164,130,2021-09-02 06:07:26,190435,CARD,RECEIVED,For clean water initiative
119,448,79,2021-11-03 09:56:49,492127,CARD,RECEIVED,Corporate social responsibility
120,789,205,2022-01-16 11:41:56,2443966,BANK_TRANSFER,RECEIVED,In honor of International Day
121,726,73,2021-11-23 13:03:16,421281,BANK_TRANSFER,RECEIVED,In honor of International Day
122,1003,59,2021-11-18 16:04:01,155832,CARD,REFUNDED,In honor of International Day
123,630,256,2024-05-20 16:11:41,2660785,CASH,RECEIVED,Supporting community development
124,619,95,2021-06-19 05:52:20,532334,CASH,RECEIVED,Honored to contribute
125,538,67,2020-12-01 13:05:20,2613729,BANK_TRANSFER,RECEIVED,For healthcare services
126,429,281,2021-02-16 14:43:31,869691,CASH,REFUNDED,Environmental conservation
127,158,248,2023-02-20 02:47:11,418498,CASH,RECEIVED,In support of your excellent work
128,509,55,2023-06-03 23:12:20,270775,CASH,RECEIVED,Environmental conservation
129,686,117,2023-10-12 12:01:11,2423720,CARD,REFUNDED,For emergency relief
130,409,13,2021-03-14 23:56:32,2377057,BANK_TRANSFER,PENDING,Environmental conservation
131,428,23,2021-07-20 23:28:29,906272,CARD,REFUNDED,Corporate social responsibility
132,480,58,2024-07-26 21:28:27,1625061,CASH,REFUNDED,In support of your excellent work
133,1165,225,2020-05-18 05:30:17,289336,CASH,PENDING,Environmental conservation
134,81,90,2020-03-26 09:25:23,651841,CASH,REFUNDED,Youth programs support
135,207,36,2020-10-21 07:31:06,406565,BANK_TRANSFER,RECEIVED,For healthcare services
136,270,285,2023-01-25 07:50:44,1783929,CARD,PENDING,Happy to support
137,651,96,2024-03-06 23:31:27,765191,CASH,RECEIVED,Tax-deductible contribution
138,631,93,2022-04-25 06:03:00,441697,CARD,REFUNDED,Supporting community development
139,142,147,2021-04-17 01:03:06,2676097,CASH,REFUNDED,Keep up the great work!
140,1013,19,2024-05-25 06:03:46,2222639,BANK_TRANSFER,REFUNDED,For clean water initiative
141,766,237,2024-10-28 20:12:04,25382,CARD,PENDING,For the children's program
142,637,254,2020-06-17 11:28:15,1316337,CARD,REFUNDED,Supporting women's empowerment
143,466,274,2021-10-01 20:07:16,2716418,CARD,REFUNDED,Annual contribution
144,949,163,2024-07-09 21:24:43,1595465,CASH,REFUNDED,For emergency relief
145,1056,157,2020-04-02 16:30:02,344677,BANK_TRANSFER,RECEIVED,Happy to support
146,816,84,2021-02-05 05:30:42,875233,CASH,REFUNDED,For the children's program
147,953,16,2024-06-19 11:44:05,2581615,BANK_TRANSFER,RECEIVED,For clean water initiative
148,192,74,2020-04-24 10:26:45,739856,CASH,REFUNDED,Regular monthly donation
149,407,166,2021-08-11 06:40:52,2696053,BANK_TRANSFER,PENDING,Tax-deductible contribution
150,1013,185,2023-09-13 14:48:54,1512117,CASH,REFUNDED,Matching donation program
151,863,263,2024-07-12 01:03:48,1260849,BANK_TRANSFER,RECEIVED,Corporate social responsibility
152,285,298,2023-05-19 22:31:12,2243951,CARD,PENDING,For the children's program
153,820,1,2022-10-04 14:36:06,1926039,BANK_TRANSFER,PENDING,In memory of a loved one
154,1063,105,2020-04-14 08:15:28,1374019,CARD,PENDING,For the children's program
155,501,53,2021-07-27 11:56:06,62251,CARD,RECEIVED,Regular monthly donation
156,701,88,2024-10-05 02:50:22,867987,CASH,RECEIVED,Environmental conservation
157,1010,291,2023-07-19 21:11:12,776775,BANK_TRANSFER,REFUNDED,Happy to support
158,27,80,2020-11-05 21:07:45,1991240,BANK_TRANSFER,RECEIVED,In memory of a loved one
159,1127,35,2021-09-05 01:48:48,1943371,CASH,PENDING,In support of your excellent work
160,295,294,2022-06-28 23:20:52,2752599,CARD,RECEIVED,Supporting women's empowerment
161,465,252,2023-05-03 00:39:06,2613255,CARD,REFUNDED,Happy to support
162,907,35,2023-04-16 13:52:07,1907751,CASH,PENDING,Happy to support
163,958,77,2023-09-16 06:58:52,2832434,BANK_TRANSFER,RECEIVED,Corporate social responsibility
164,765,128,2021-06-07 10:02:06,33517,CARD,PENDING,Youth programs support
165,93,98,2020-06-28 09:52:28,2287710,CASH,REFUNDED,In memory of a loved one
166,561,136,2021-02-09 02:38:57,2475060,BANK_TRANSFER,PENDING,In memory of a loved one
167,963,90,2023-09-15 03:38:21,1108374,CASH,PENDING,Environmental conservation
168,737,142,2021-07-02 04:55:54,2817888,CASH,PENDING,Matching donation program
169,741,140,2020-01-02 06:05:14,1358132,CASH,RECEIVED,Quarterly donation
170,349,89,2020-12-16 03:38:21,201760,CASH,RECEIVED,For the children's program
171,425,109,2023-10-14 06:46:35,703151,CARD,REFUNDED,In honor of International Day
172,726,276,2024-05-06 21:48:16,1530340,CARD,REFUNDED,For the children's program
173,931,138,2022-11-17 02:32:22,220109,CASH,REFUNDED,Happy to support
174,751,158,2021-01-04 05:57:27,1848378,BANK_TRANSFER,PENDING,Corporate social responsibility
175,431,112,2024-01-22 06:05:30,1921094,CASH,REFUNDED,Supporting women's empowerment
176,704,182,2023-02-19 16:22:22,2243815,CASH,REFUNDED,In honor of International Day
177,804,234,2021-04-25 23:18:24,39899,BANK_TRANSFER,REFUNDED,Supporting women's empowerment
178,545,144,2020-09-21 14:26:59,2386209,CASH,PENDING,Supporting community development
179,882,180,2021-11-11 07:45:28,998997,BANK_TRANSFER,REFUNDED,Annual contribution
180,80,239,2021-06-24 09:23:59,400178,CARD,REFUNDED,For the children's program
181,433,23,2022-05-26 04:12:58,2156586,CARD,RECEIVED,Environmental conservation
182,24,199,2024-04-04 09:36:37,2867500,CASH,REFUNDED,Matching donation program
183,167,39,2022-07-25 07:08:14,583174,CARD,PENDING,Tax-deductible contribution
184,1127,14,2022-03-20 13:00:05,1836973,CARD,PENDING,Supporting community development
185,699,242,2022-11-28 21:17:21,2878491,CARD,REFUNDED,In support of your excellent work
186,433,273,2021-12-17 13:14:56,1191705,CARD,RECEIVED,Regular monthly donation
187,382,181,2020-05-27 11:38:31,2653601,CARD,PENDING,Quarterly donation
188,183,29,2023-01-04 08:01:25,72554,BANK_TRANSFER,RECEIVED,Regular monthly donation
189,82,123,2020-11-21 08:54:14,2163314,CARD,RECEIVED,Youth programs support
190,113,48,2021-02-23 19:57:35,1842250,CARD,PENDING,For the children's program
191,465,77,2021-08-19 13:03:10,97154,CARD,PENDING,For healthcare services
192,184,101,2022-11-13 09:17:57,2835787,CASH,PENDING,In honor of International Day
193,163,11,2021-12-24 07:30:18,784638,CARD,RECEIVED,In honor of International Day
194,623,18,2023-10-05 21:00:06,90567,BANK_TRANSFER,RECEIVED,For clean water initiative
195,167,257,2022-08-10 09:20:29,1316925,CARD,PENDING,Environmental conservation
196,147,50,2020-10-25 17:23:38,98402,BANK_TRANSFER,PENDING,Quarterly donation
197,1119,99,2023-11-18 01:03:09,2724802,CARD,PENDING,Regular monthly donation
198,414,167,2023-09-06 02:07:01,2026371,CASH,PENDING,Matching donation program
199,896,179,2022-01-07 04:55:35,2166579,CARD,REFUNDED,In honor of International Day
200,665,63,2022-08-03 19:09:20,2866766,BANK_TRANSFER,RECEIVED,Annual contribution
201,197,198,2021-09-03 23:47:17,1208522,BANK_TRANSFER,REFUNDED,In honor of International Day
202,1063,3,2023-10-05 06:07:42,2330093,CASH,REFUNDED,Happy to support
203,1083,103,2021-04-23 02:56:43,2901821,BANK_TRANSFER,RECEIVED,Matching donation program
204,749,51,2021-01-12 07:26:13,1030160,BANK_TRANSFER,REFUNDED,Quarterly donation
205,740,286,2020-10-01 15:11:19,1172050,BANK_TRANSFER,PENDING,In honor of International Day
206,288,115,2020-04-28 14:17:51,1110892,BANK_TRANSFER,PENDING,Supporting community development
207,1146,139,2020-04-05 19:44:28,2297379,BANK_TRANSFER,PENDING,Corporate social responsibility
208,741,181,2023-05-22 18:22:25,1143263,CASH,PENDING,In honor of International Day
209,1197,192,2023-06-15 07:22:10,372839,CARD,REFUNDED,Quarterly donation
210,1021,143,2023-05-19 15:05:22,2165267,CASH,PENDING,Environmental conservation
211,394,18,2023-08-16 11:29:33,369665,CARD,RECEIVED,Annual contribution
212,39,39,2024-10-01 16:10:52,673646,CASH,REFUNDED,Honored to contribute
213,193,260,2024-01-23 13:49:34,1590417,CASH,REFUNDED,Environmental conservation
214,268,45,2024-10-19 10:36:43,1098129,CARD,PENDING,Happy to support
215,729,22,2023-12-06 19:51:13,122352,CASH,RECEIVED,In support of your excellent work
216,655,68,2022-06-28 10:32:40,2129740,BANK_TRANSFER,RECEIVED,For the children's program
217,53,80,2023-02-22 13:23:16,563870,BANK_TRANSFER,REFUNDED,Regular monthly donation
218,604,285,2020-07-09 03:40:40,1387762,CASH,REFUNDED,Keep up the great work!
219,374,111,2020-07-01 16:46:23,819099,BANK_TRANSFER,RECEIVED,Annual contribution
220,1028,2,2022-06-06 16:13:40,833414,CASH,RECEIVED,In honor of International Day
221,1007,19,2021-11-28 03:06:34,1252896,CARD,PENDING,In support of your excellent work
222,325,131,2024-10-01 18:54:07,1904457,CARD,REFUNDED,Quarterly donation
223,1124,255,2020-02-11 04:13:35,2383197,CASH,REFUNDED,For clean water initiative
224,1085,181,2023-05-28 14:10:09,734803,BANK_TRANSFER,REFUNDED,For healthcare services
225,427,231,2022-12-11 19:26:15,281976,BANK_TRANSFER,RECEIVED,For healthcare services
226,876,267,2023-11-06 21:19:56,1098598,CASH,PENDING,Keep up the great work!
227,10,149,2024-07-19 04:53:30,2479433,CARD,REFUNDED,Regular monthly donation
228,373,155,2021-09-02 16:22:07,2881518,CARD,REFUNDED,For emergency relief
229,844,264,2022-08-14 11:38:28,946864,BANK_TRANSFER,REFUNDED,Annual contribution
230,944,39,2023-05-23 21:50:35,1308156,CASH,REFUNDED,Keep up the great work!
231,618,53,2024-05-09 19:16:56,750093,CASH,RECEIVED,In memory of a loved one
232,823,66,2022-09-10 11:04:33,2501923,BANK_TRANSFER,REFUNDED,In support of your excellent work
233,855,29,2021-04-25 08:25:28,2580332,CARD,PENDING,Environmental conservation
234,561,280,2021-11-14 16:52:36,543598,CARD,RECEIVED,In honor of International Day
235,836,221,2023-07-13 07:55:53,2570323,CASH,REFUNDED,Supporting women's empowerment
236,588,267,2021-11-16 07:54:38,2857554,CARD,REFUNDED,In support of your excellent work
237,1048,23,2024-02-17 15:29:19,2378395,BANK_TRANSFER,REFUNDED,Corporate social responsibility
238,216,238,2021-03-24 03:17:28,928171,CASH,REFUNDED,For the children's program
239,1054,163,2024-01-01 22:15:33,2602303,CARD,PENDING,Quarterly donation
240,977,17,2020-12-05 02:47:21,2252666,CASH,RECEIVED,Happy to support
241,527,299,2023-12-07 17:37:15,1223965,CARD,REFUNDED,Tax-deductible contribution
242,417,72,2024-02-26 14:06:17,2968409,CARD,REFUNDED,In support of your excellent work
243,787,23,2022-10-25 04:14:32,1689161,CASH,PENDING,Keep up the great work!
244,993,289,2020-02-04 00:45:18,12880,BANK_TRANSFER,REFUNDED,Corporate social responsibility
245,1101,168,2020-09-19 12:00:30,1179174,CASH,PENDING,Supporting community development
246,370,41,2024-12-01 22:34:03,1014722,BANK_TRANSFER,REFUNDED,Annual contribution
247,248,128,2021-09-04 15:21:48,1161137,CASH,RECEIVED,For healthcare services
248,83,228,2023-07-12 23:17:51,2984865,CARD,REFUNDED,Quarterly donation
249,961,230,2022-03-19 10:54:10,2650918,CASH,RECEIVED,For healthcare services
250,627,249,2022-06-19 09:09:35,1509604,BANK_TRANSFER,RECEIVED,Happy to support
251,377,280,2024-03-20 02:35:08,825792,CARD,PENDING,Supporting community development
252,527,127,2020-07-08 09:05:05,2622008,CASH,REFUNDED,Supporting women's empowerment
253,326,112,2022-10-26 07:16:26,104714,BANK_TRANSFER,RECEIVED,Keep up the great work!
254,323,245,2024-01-21 00:19:58,2692518,CARD,PENDING,Youth programs support
255,1013,256,2021-03-14 17:27:41,5142,CARD,PENDING,For healthcare services
256,1082,88,2020-07-02 09:48:08,303373,BANK_TRANSFER,RECEIVED,For emergency relief
257,631,243,2023-09-18 21:10:09,1858869,CARD,REFUNDED,Youth programs support
258,1074,156,2024-02-14 22:07:32,1501132,CARD,REFUNDED,Tax-deductible contribution
259,645,213,2024-10-17 01:50:42,1606333,BANK_TRANSFER,REFUNDED,For emergency relief
260,1051,232,2020-07-20 22:38:41,2931236,BANK_TRANSFER,PENDING,In honor of International Day
261,688,195,2022-04-28 13:35:18,1835163,CASH,RECEIVED,Quarterly donation
262,680,50,2022-11-02 01:27:12,2662674,CARD,REFUNDED,Matching donation program
263,1111,163,2020-01-10 11:37:12,826923,CASH,RECEIVED,Environmental conservation
264,193,87,2021-07-09 23:20:13,1560449,BANK_TRANSFER,REFUNDED,For the children's program
265,1181,13,2020-04-15 13:18:00,427247,CARD,PENDING,For the children's program
266,541,281,2023-11-17 04:40:03,445180,BANK_TRANSFER,PENDING,In memory of a loved one
267,900,212,2021-12-08 00:17:06,2130209,CARD,PENDING,Quarterly donation
268,477,247,2022-07-12 07:55:44,911735,CASH,REFUNDED,Honored to contribute
269,793,53,2021-01-19 01:49:44,979320,CASH,REFUNDED,For healthcare services
270,870,274,2022-10-07 06:26:56,2105026,CARD,RECEIVED,Happy to support
271,371,248,2021-10-21 19:42:38,178519,CARD,RECEIVED,Quarterly donation
272,606,224,2023-08-14 01:58:45,704574,CASH,PENDING,Happy to support
273,407,55,2021-12-16 19:54:32,2060480,BANK_TRANSFER,RECEIVED,Honored to contribute
274,263,144,2021-09-15 12:02:56,679044,CARD,REFUNDED,Tax-deductible contribution
275,664,210,2022-10-03 04:06:47,869327,BANK_TRANSFER,REFUNDED,For clean water initiative
276,458,298,2021-04-14 22:12:59,2826677,BANK_TRANSFER,RECEIVED,Annual contribution
277,394,207,2020-08-27 12:46:45,1491513,CARD,REFUNDED,Supporting women's empowerment
278,362,201,2021-08-10 22:00:19,1826794,CARD,PENDING,In honor of International Day
279,613,158,2023-09-04 04:40:17,2245768,CARD,REFUNDED,Regular monthly donation
280,417,219,2022-06-06 22:00:33,523028,CASH,REFUNDED,Corporate social responsibility
281,915,6,2021-07-01 03:47:22,1365492,BANK_TRANSFER,RECEIVED,Matching donation program
282,662,93,2022-11-26 05:34:33,2624020,CASH,PENDING,In support of your excellent work
283,1013,184,2020-03-19 08:41:59,522053,CASH,RECEIVED,Supporting women's empowerment
284,502,284,2020-03-27 10:34:56,280109,CARD,RECEIVED,In support of your excellent work
285,909,22,2020-08-11 06:32:19,1173964,BANK_TRANSFER,PENDING,Corporate social responsibility
286,800,294,2020-04-13 06:48:15,613865,BANK_TRANSFER,RECEIVED,Keep up the great work!
287,391,105,2024-01-12 14:51:59,854079,CASH,PENDING,Annual contribution
288,445,261,2021-02-19 07:03:27,2239126,CASH,REFUNDED,Regular monthly donation
289,886,226,2022-08-27 21:08:18,1793993,CASH,RECEIVED,Regular monthly donation
290,944,79,2024-10-05 10:37:15,396487,CASH,PENDING,In honor of International Day
291,462,207,2022-10-18 17:38:11,1261617,BANK_TRANSFER,RECEIVED,Supporting community development
292,120,232,2020-11-28 16:43:11,777728,BANK_TRANSFER,REFUNDED,Corporate social responsibility
293,268,225,2023-05-12 23:17:40,1014647,CARD,RECEIVED,Supporting community development
294,754,230,2021-11-19 05:23:14,1643199,CASH,REFUNDED,Honored to contribute
295,91,188,2024-02-21 08:42:50,1691949,BANK_TRANSFER,RECEIVED,Supporting community development
296,591,220,2021-09-12 21:22:31,178206,BANK_TRANSFER,RECEIVED,Environmental conservation
297,132,69,2023-06-03 23:15:40,2816401,BANK_TRANSFER,RECEIVED,Quarterly donation
298,998,300,2024-03-28 05:38:32,1707603,BANK_TRANSFER,REFUNDED,Environmental conservation
299,127,298,2024-08-07 01:42:44,679068,CARD,RECEIVED,Environmental conservation
300,1190,44,2024-09-21 14:17:24,1236852,BANK_TRANSFER,RECEIVED,Annual contribution
301,576,130,2020-04-23 13:03:15,1191199,CARD,REFUNDED,For healthcare services
302,441,193,2021-10-11 01:52:09,1811860,CARD,PENDING,Keep up the great work!
303,204,195,2023-01-14 05:57:31,244245,CASH,PENDING,Matching donation program
304,590,253,2023-02-13 01:01:24,1539194,BANK_TRANSFER,REFUNDED,Regular monthly donation
305,1002,161,2022-10-24 18:14:57,2793357,CASH,RECEIVED,For the children's program
306,394,17,2023-06-17 19:40:51,822857,BANK_TRANSFER,RECEIVED,Quarterly donation
307,1173,137,2024-06-06 07:23:51,561849,CARD,RECEIVED,Matching donation program
308,804,264,2020-10-24 08:05:06,1601509,BANK_TRANSFER,REFUNDED,Matching donation program
309,63,280,2020-02-06 22:28:11,1434134,CASH,PENDING,Supporting women's empowerment
310,520,151,2023-02-28 21:04:17,1558938,BANK_TRANSFER,RECEIVED,Supporting women's empowerment
311,809,269,2023-10-08 17:29:36,2978173,CASH,RECEIVED,Happy to support
312,846,220,2023-02-12 02:33:00,675352,CASH,RECEIVED,Supporting community development
313,1053,190,2024-07-25 05:03:22,2011297,CARD,RECEIVED,In honor of International Day
314,472,207,2022-05-16 22:50:35,1269597,BANK_TRANSFER,PENDING,For the children's program
315,866,221,2020-10-10 08:19:21,2685667,CASH,RECEIVED,For clean water initiative
316,292,41,2020-09-09 04:44:27,1405573,CASH,PENDING,Quarterly donation
317,69,33,2022-03-22 07:10:20,1741217,BANK_TRANSFER,REFUNDED,Supporting women's empowerment
318,257,149,2024-02-12 01:58:01,2777464,CASH,PENDING,Supporting community development
319,564,58,2021-01-22 11:57:21,2164781,CARD,REFUNDED,Tax-deductible contribution
320,121,64,2023-09-11 12:25:00,2096822,CARD,RECEIVED,Supporting women's empowerment
